SELFIES	MW	LogP	TPSA	HBA	HBD	RotB
[C][O][C][=C][Branch1][C][O][C][=C][C][=C][Branch2][Ring1][C][C][=C][C][=C][C][Branch1][C][O][=C][C][Ring1][#Branch1][=C][Ring1][S][Ring1][O][N][C][Ring1][=C][=O]	281.26700000000005	2.9785000000000004	78.78999999999999	4	3	1
[N][C][=C][C][=C][Branch2][Ring1][O][C][N][C][=C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][C][Br][C][=C][Ring1][#Branch1][Ring1][=N][C][=C][Ring2][Ring1][=Branch1][O]	388.22100000000006	2.1376000000000004	104.45	5	4	3
[C][N][Branch1][C][C][C][C][Branch1][C][O][C][O][C][=C][C][=C][Branch2][Ring1][P][N][C][=C][C][Branch2][Ring1][Ring2][N][Branch1][Branch1][C][C][C][#N][C][=C][C][Branch1][C][Cl][=C][C][=C][Ring1][#Branch1][Cl][=N][C][=N][Ring2][Ring1][Ring1][C][=C][Ring2][Ring1][#Branch2]	501.41800000000023	4.880080000000004	97.54	8	2	11
[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Ring1][N][C][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][C][=C][Ring2][Ring1][C]	315.35400000000004	1.7391	101.28999999999999	4	3	3
[C][C][N][C][=C][C][=C][NH1][N][=C][Branch1][#C][N][C][=Branch1][C][=O][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][Ring1][#C][=C][Ring2][Ring1][Ring1]	294.358	3.1759000000000013	69.81	3	3	5
[C][C][Branch1][C][C][C][C][=C][C][=C][C][=C][Ring1][=Branch1][C][=Branch2][Ring1][Branch1][=N][N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][N][=Branch1][C][=O][=O][C][=C][Ring1][#Branch2][C][=Branch1][C][=O][N][Ring2][Ring1][C]	372.4500000000001	2.3007999999999997	113.64999999999998	5	3	5
[N][S][=Branch1][C][=O][=Branch1][C][=O][C][=C][C][=C][Branch2][Ring1][Ring1][N][N][=C][C][=Branch1][C][=O][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Ring1][#Branch2][C][=C][Ring2][Ring1][C]	316.34200000000004	1.1023	113.65	5	3	3
[C][C][C][Branch2][Ring1][P][S][C][=N][C][Branch2][Ring1][Ring2][N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=N][=O][C][=C][Ring1][#Branch2][=N][C][=C][Ring1][P][Br][C][Branch1][C][C][Branch1][C][C][O]	459.4350000000001	4.659770000000004	98.96000000000001	7	3	7
[C][C][C][Branch2][Ring2][Ring1][N][C][=N][C][Branch1][O][N][C][C][=C][C][=C][N][=C][Ring1][=Branch1][=C][N][=C][N][Branch1][=Branch1][C][Branch1][C][C][C][C][Ring1][Branch2][=N][Ring2][Ring1][Ring2][C][Branch1][C][O][C][Branch1][C][F][Branch1][C][F][F]	423.4430000000001	3.5280000000000027	100.78	8	3	8
[C][C][C][O][C][=C][N][=C][Branch2][Ring2][C][C][N][C][=C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][=Branch2][C][Branch1][C][C][Branch1][C][C][C][C][=C][Ring1][#Branch2][Ring1][S][C][=C][Ring2][Ring1][=Branch2][O]	409.48600000000016	3.2742000000000027	100.55	6	3	6
[C][O][C][=C][C][=C][Branch2][Ring1][P][C][N][C][=C][C][=Branch1][C][=O][N][C][=Branch1][C][=O][C][=C][C][=C][Branch1][Branch2][C][C][=C][O][C][=Ring1][Branch1][C][=C][Ring1][O][Ring1][P][C][=C][Ring2][Ring1][#Branch2][O]	390.39500000000015	3.061500000000002	100.80000000000001	6	3	5
[F][C][Branch1][C][F][Branch1][C][F][C][=C][N][=C][Branch1][#C][N][C][=C][C][=C][NH1][C][=N][C][Ring1][Branch1][=C][Ring1][=Branch2][N][=C][Ring1][S][N][C][=C][C][=C][C][=C][Ring1][=Branch1][Cl]	404.78300000000013	5.5123000000000015	78.52000000000001	5	3	4
[C][O][C][C][C][N][Branch2][Ring2][#Branch2][C][=N][C][=C][C][Branch2][Ring1][=C][N][C][=C][C][Branch2][Ring1][C][N][C][=Branch1][C][=O][C][=C][Branch1][C][Cl][C][=C][C][=C][Ring1][#Branch1][Cl][=C][C][=N][Ring1][P][=N][Ring2][Ring1][Branch2][C][C][Ring2][Ring1][=C]	473.36400000000026	4.789500000000004	92.27000000000001	7	2	6
[O][=C][Branch2][Ring1][Ring2][C][C][=C][C][=C][Branch1][=Branch2][C][C][=C][C][=C][S][Ring1][Branch1][C][=C][Ring1][N][N][C][C][=C][Branch1][=Branch1][C][C][C][Ring1][Ring1][NH1][N][=Ring1][Branch2]	337.44800000000015	4.120600000000001	57.78	3	2	6
[C][C][N][=C][C][=C][C][=C][N][Ring1][=Branch1][C][=Ring1][=Branch2][C][=C][C][=N][C][Branch2][Ring1][Branch2][N][C][=C][C][=C][Branch1][=N][O][C][C][Branch1][C][O][C][N][Branch1][C][C][C][C][=C][Ring1][=C][=N][Ring2][Ring1][Branch1]	418.5010000000002	3.1446200000000015	87.81	8	2	8
[O][=C][Branch1][#Branch2][N][C][C][C][N][C][C][Ring1][=Branch1][C][=N][NH1][C][=C][Ring1][Branch1][N][C][=Branch1][C][=O][C][=C][Branch1][C][F][C][=C][C][=C][Ring1][#Branch1][Cl]	365.79600000000005	1.9362999999999988	98.91	4	4	4
[C][C][Branch2][Ring1][P][S][C][=N][C][Branch2][Ring1][Ring2][N][C][=C][C][=C][Branch1][=Branch2][S][Branch1][C][C][=Branch1][C][=N][=O][C][=C][Ring1][#Branch2][=N][C][=C][Ring1][P][Br][C][Branch1][C][C][Branch1][C][C][O]	445.40800000000013	4.269670000000003	98.96000000000001	7	3	6
